scenario,sample,latency_ms
fast_swipe,1,0.022
fast_swipe,2,0.015
fast_swipe,3,0.027
fast_swipe,4,0.030
fast_swipe,5,0.026
fast_swipe,6,0.024
fast_swipe,7,0.028
fast_swipe,8,0.025
fast_swipe,9,0.021
fast_swipe,10,0.027
fast_swipe,11,0.022
fast_swipe,12,0.033
fast_swipe,13,0.021
fast_swipe,14,0.022
fast_swipe,15,0.022
fast_swipe,16,0.043
fast_swipe,17,0.024
fast_swipe,18,0.017
fast_swipe,19,0.030
fast_swipe,20,0.028
fast_swipe,21,0.033
fast_swipe,22,0.024
fast_swipe,23,0.022
fast_swipe,24,0.022
fast_swipe,25,0.011
fast_swipe,26,0.024
fast_swipe,27,0.023
fast_swipe,28,0.022
fast_swipe,29,0.026
single_tap,1,0.016
single_tap,2,0.025
single_tap,3,0.014
single_tap,4,0.032
single_tap,5,0.026
single_tap,6,0.021
single_tap,7,0.027
single_tap,8,0.023
single_tap,9,0.020
single_tap,10,0.040
single_tap,11,0.020
single_tap,12,0.021
single_tap,13,0.026
single_tap,14,0.023
single_tap,15,0.020
single_tap,16,0.027
single_tap,17,0.029
single_tap,18,0.029
single_tap,19,0.023
single_tap,20,0.033
single_tap,21,0.023
single_tap,22,0.025
single_tap,23,0.021
single_tap,24,0.030
single_tap,25,0.017
single_tap,26,0.036
single_tap,27,0.019
single_tap,28,0.103
single_tap,29,0.019
single_tap,30,0.018
single_tap,31,0.021
single_tap,32,0.020
single_tap,33,0.017
single_tap,34,0.023
single_tap,35,0.022
single_tap,36,0.024
single_tap,37,0.030
single_tap,38,0.019
single_tap,39,0.024
single_tap,40,0.015
single_tap,41,0.021
single_tap,42,0.016
single_tap,43,0.022
single_tap,44,0.025
single_tap,45,0.013
single_tap,46,0.024
single_tap,47,0.026
single_tap,48,0.023
single_tap,49,0.024
single_tap,50,0.019
single_tap,51,0.024
single_tap,52,0.026
single_tap,53,0.024
single_tap,54,0.021
single_tap,55,0.028
single_tap,56,0.022
single_tap,57,0.031
single_tap,58,0.022
single_tap,59,0.027
single_tap,60,0.044
single_tap,61,0.028
single_tap,62,0.018
single_tap,63,0.040
single_tap,64,0.028
single_tap,65,0.022
single_tap,66,0.025
single_tap,67,0.026
single_tap,68,0.022
single_tap,69,0.024
single_tap,70,0.021
single_tap,71,0.024
single_tap,72,0.029
single_tap,73,0.028
single_tap,74,0.021
single_tap,75,0.021
single_tap,76,0.026
single_tap,77,0.021
single_tap,78,0.025
single_tap,79,0.027
single_tap,80,0.038
single_tap,81,0.030
single_tap,82,0.032
single_tap,83,0.037
single_tap,84,0.036
single_tap,85,0.024
single_tap,86,0.014
single_tap,87,0.023
single_tap,88,0.029
single_tap,89,0.021
single_tap,90,0.028
single_tap,91,0.011
single_tap,92,0.042
single_tap,93,0.027
single_tap,94,0.021
single_tap,95,0.022
single_tap,96,0.025
single_tap,97,0.017
single_tap,98,0.031
single_tap,99,0.026
single_tap,100,0.021
single_tap,101,0.029
single_tap,102,0.016
