scenario,sample,latency_ms
fast_swipe,1,0.052
fast_swipe,2,0.053
fast_swipe,3,0.065
fast_swipe,4,0.026
fast_swipe,5,0.061
fast_swipe,6,0.038
fast_swipe,7,0.031
fast_swipe,8,0.030
fast_swipe,9,0.058
fast_swipe,10,0.038
fast_swipe,11,0.043
fast_swipe,12,0.038
fast_swipe,13,0.031
fast_swipe,14,0.040
fast_swipe,15,0.053
fast_swipe,16,0.031
fast_swipe,17,0.059
fast_swipe,18,0.030
fast_swipe,19,0.047
fast_swipe,20,0.029
fast_swipe,21,0.057
fast_swipe,22,0.037
single_tap,1,0.064
single_tap,2,0.032
single_tap,3,0.049
single_tap,4,0.054
single_tap,5,0.049
single_tap,6,0.048
single_tap,7,0.028
single_tap,8,0.043
single_tap,9,0.030
single_tap,10,0.037
single_tap,11,0.037
single_tap,12,0.045
single_tap,13,0.050
single_tap,14,0.042
single_tap,15,0.038
single_tap,16,0.046
single_tap,17,0.049
single_tap,18,0.041
single_tap,19,0.041
single_tap,20,0.055
single_tap,21,0.040
single_tap,22,0.059
single_tap,23,0.042
single_tap,24,0.038
single_tap,25,0.038
single_tap,26,0.040
single_tap,27,0.041
single_tap,28,0.056
single_tap,29,0.048
single_tap,30,0.036
single_tap,31,0.056
single_tap,32,0.048
single_tap,33,0.061
single_tap,34,0.042
single_tap,35,0.045
single_tap,36,0.041
single_tap,37,0.038
single_tap,38,0.035
single_tap,39,0.045
single_tap,40,0.030
single_tap,41,0.026
single_tap,42,0.037
single_tap,43,0.030
single_tap,44,0.042
single_tap,45,0.048
single_tap,46,0.060
single_tap,47,0.044
single_tap,48,0.041
single_tap,49,0.048
single_tap,50,0.051
single_tap,51,0.040
single_tap,52,0.047
single_tap,53,0.031
single_tap,54,0.043
single_tap,55,0.050
single_tap,56,0.036
single_tap,57,0.035
single_tap,58,0.037
single_tap,59,0.046
single_tap,60,0.032
single_tap,61,0.048
single_tap,62,0.048
single_tap,63,0.027
single_tap,64,0.049
single_tap,65,0.043
single_tap,66,0.031
single_tap,67,0.040
single_tap,68,0.033
single_tap,69,0.030
single_tap,70,0.029
single_tap,71,0.042
single_tap,72,0.035
single_tap,73,0.024
single_tap,74,0.052
single_tap,75,0.042
single_tap,76,0.047
single_tap,77,0.037
single_tap,78,0.037
single_tap,79,0.048
single_tap,80,0.039
single_tap,81,0.040
single_tap,82,0.052
single_tap,83,0.048
single_tap,84,0.050
single_tap,85,0.033
single_tap,86,0.029
single_tap,87,0.030
single_tap,88,0.031
single_tap,89,0.030
single_tap,90,0.057
single_tap,91,0.056
single_tap,92,0.050
single_tap,93,0.052
single_tap,94,0.031
single_tap,95,0.028
single_tap,96,0.038
single_tap,97,0.025
single_tap,98,0.028
single_tap,99,0.031
single_tap,100,0.028
single_tap,101,0.031
single_tap,102,0.023
single_tap,103,0.057
single_tap,104,0.036
single_tap,105,0.048
single_tap,106,0.042
single_tap,107,0.051
single_tap,108,0.039
single_tap,109,0.049
single_tap,110,0.039
single_tap,111,0.040
single_tap,112,0.034
