scenario,run,duration_sec,battery_drain_pct,start_current_ma,end_current_ma,avg_current_ma,wakeups_per_sec
[21:06:14] Running idle power test (run 1, 900s)...
[21:06:14] Resetting battery statistics...
[21:06:16]   Initial: battery=94%, current=-192mA
[21:06:16]   Waiting 900 seconds (idle) with current sampling every 10s...
[21:11:20]     300s / 900s elapsed
[21:16:24]     600s / 900s elapsed
[21:21:28]     900s / 900s elapsed
[21:21:28]   Final: battery=91%, drain=3%
[21:21:28]   Average current: -247.6mA
[21:21:28]   Wakeups: 802700 total, 880.15/sec
idle,1,912,3,-192,-570,-247.6,880.15
[21:22:28] Running idle power test (run 2, 900s)...
[21:22:28] Resetting battery statistics...
[21:22:30]   Initial: battery=91%, current=-183mA
[21:22:30]   Waiting 900 seconds (idle) with current sampling every 10s...
[21:27:34]     300s / 900s elapsed
[21:32:39]     600s / 900s elapsed
[21:37:43]     900s / 900s elapsed
[21:37:43]   Final: battery=88%, drain=3%
[21:37:43]   Average current: -306.2mA
[21:37:43]   Wakeups: 799289 total, 875.45/sec
idle,2,913,3,-183,-7324,-306.2,875.45
[21:38:43] Running idle power test (run 3, 900s)...
[21:38:43] Resetting battery statistics...
[21:38:45]   Initial: battery=88%, current=-389mA
[21:38:45]   Waiting 900 seconds (idle) with current sampling every 10s...
[21:43:49]     300s / 900s elapsed
[21:48:53]     600s / 900s elapsed
[21:53:56]     900s / 900s elapsed
[21:53:57]   Final: battery=88%, drain=0%
[21:53:57]   Average current: -2024.6mA
[21:53:57]   Wakeups: 183018 total, 200.67/sec
idle,3,912,0,-389,-17,-2024.6,200.67
[21:54:57] Running idle power test (run 4, 900s)...
[21:54:57] Resetting battery statistics...
[21:54:59]   Initial: battery=88%, current=-269mA
[21:54:59]   Waiting 900 seconds (idle) with current sampling every 10s...
[22:00:03]     300s / 900s elapsed
[22:05:07]     600s / 900s elapsed
[22:10:11]     900s / 900s elapsed
[22:10:11]   Final: battery=88%, drain=0%
[22:10:11]   Average current: -2477.0mA
[22:10:11]   Wakeups: 176392 total, 193.41/sec
idle,4,912,0,-269,-186,-2477.0,193.41
[22:11:11] Running idle power test (run 5, 900s)...
[22:11:11] Resetting battery statistics...
[22:11:13]   Initial: battery=88%, current=-257mA
[22:11:13]   Waiting 900 seconds (idle) with current sampling every 10s...
[22:16:17]     300s / 900s elapsed
[22:21:21]     600s / 900s elapsed
[22:26:25]     900s / 900s elapsed
[22:26:25]   Final: battery=88%, drain=0%
[22:26:25]   Average current: -2125.0mA
[22:26:25]   Wakeups: 183732 total, 201.46/sec
idle,5,912,0,-257,-313,-2125.0,201.46
[22:28:25] Running active power test (run 1, 900s)...
[22:28:25] NOTE: This test requires PHYSICAL touch input on the device screen
[22:28:25] Resetting battery statistics...
[22:28:27]   Initial: battery=88%, current=-300mA
[22:28:27] >>> TAP THE SCREEN CONTINUOUSLY (~2 taps/sec) for 900 seconds <<<
[22:28:27] >>> Starting in 5 seconds... <<<
[22:28:32]   Sampling current for 900 seconds during physical interaction...
[22:33:36]     300s / 900s elapsed
[22:38:40]     600s / 900s elapsed
[22:43:44]     900s / 900s elapsed
[22:43:44] >>> Test period complete - you can stop tapping <<<
[22:43:44]   Final: battery=88%, drain=0%
[22:43:44]   Average current: -1788.8mA
[22:43:44]   Wakeups: 204836 total, 223.37/sec
